,title,Date,comment
0,,"AMZNMonday, July 16th 2012",Bernstein's Carlos Kirjner doesn't think Amazon's (NASDAQ:AMZN) gross margin expansion is over:...
0,,"AZO, BBY, WMT, BJ, COST, TGT, DKS, GO...Friday, August 14th 2020",Amazon (NASDAQ:AMZN) plans to introduce a digital bookstore in Brazil and sell its Kindle...
0,,"AMZNThursday, December 15th 2011",Amazon (AMZN) plans to unveil a TV set-top box that can be used by consumers to stream video...
0,,"AMZNFriday, June 15th 2012",Death by Amazon: Historic book publisher Houghton Mifflin Harcourt files for bankruptcy in order...
0,,"AMZNWednesday, May 1st 2013","Peacock adds Vizio, LG as launch partners"
0,,"AMZN, AAPLMonday, March 12th 2012","Expectations are high for Amazon's (NASDAQ:AMZN) Kindle Fire, with many predicting the Android..."
0,,"AMZN, HPQ, GOOGFriday, September 30th 2011",DigiTimes' sources believe Amazon (NASDAQ:AMZN) will ship 4M Kindle Fire units in 2011 - a solid...
0,,"AMZNMonday, March 5th 2012",Amazon (NASDAQ:AMZN) could be the big winner from the DOJ's suit against Apple (NASDAQ:AAPL) and...
0,,"XAUUSD:CURThursday, July 23rd 2020","Amazon (NASDAQ:AMZN) has pulled 5,000 Kindle titles offered by distributor Independent..."
0,,"Monday, January 14th 2013","Amazon (AMZN +0.5%) is acquiring Goodreads, owner of a top site/social network for discussing..."
0,,"AMZN, DELL, SAP, IBMWednesday, January 4th 2012",Amazon (NASDAQ:AMZN) is under increasing scrutiny in Germany over its treatment of temporary...
0,,"AMZNMonday, December 31st 2012",The report that RIM nixed takeover queries from Amazon (NASDAQ:AMZN) and others only confirms...
0,,"AMZNMonday, October 24th 2011",Rackspace (NYSE:RAX) hopes to gain ground against Amazon by providing 3 reference architectures...
0,,"SPYTuesday, July 21st 2020","Having resigned itself last week to collecting sales taxes in California by 2013, ..."
0,,"AMZNWednesday, October 26th 2011","Though Amazon has its doubts about the concept, eBay (NASDAQ:EBAY) thinks its can provide..."
0,,"AMZNThursday, November 1st 2012",Best Buy's (NYSE:BBY) innovation team pushed management to explore opportunities with ...
0,,"AMZN, LVSWednesday, June 17th 2020","Amazon (AMZN +1.1%) doesn't have a chain of stores, but just as ebook lending is exploding, it..."
0,,"AMZNFriday, September 2nd 2011","Amazon (NASDAQ:AMZN) is ""a religion stock,"" writes Barron's, ""either you are a believer, or you..."
0,,"AMZNMonday, July 8th 2013",More on Amazon's (NASDAQ:AMZN) Q4: The company swung back from its Q3 loss as North America...
0,,"AMZNMonday, October 15th 2012","After striking a video streaming deal with CBS last week, Amazon (NASDAQ:AMZN) is now announcing..."
0,,"AMZNMonday, December 27th 2010",Amazon's (NASDAQ:AMZN) Kindle Paperwhite e-reader is sold out until November: the e-commerce...
0,,"EBAY, FDX, PBIThursday, October 25th 2012",The South Carolina House passes a bill exempting Amazon (NASDAQ:AMZN) from collecting state...
0,,"AMZNThursday, August 30th 2012",Amazon (NASDAQ:AMZN) will incorporate mapping services from Nokia (NYSE:NOK) in the new Kindle...
0,,"GOOG, GOOGL, CMCSA, ROKU, AMZN, TTuesday, June 23rd 2020",Amazon (NASDAQ:AMZN) has struck a deal to supply its LoveFilm streaming service with content...
0,,"AMZN, GOOG, AAPLFriday, October 8th 2010",Amazon's (AMZN +1.4%) event is underway. The first item unveiled is the rumored Kindle...
0,,"AIRBMonday, June 22nd 2020",Amazon (NASDAQ:AMZN) introduces a new website focused on product solutions for business and...
0,,"BB, AMZN, FB, AAPL, GOOG, MSFTSunday, June 24th 2012","Amazon's (NASDAQ:AMZN) second-generation Kindle Fire will be launched on July 31, according to..."
0,,"AMZNMonday, April 2nd 2012",Gaming and Internet ETFs top the competition in historic first half
0,,"AMZNTuesday, May 1st 2012","Hoping to stem Amazon's (NASDAQ:AMZN) share gains, eBay (NASDAQ:EBAY) and Wal-Mart (NYSE:WMT)..."
0,,"TEF, AMZNThursday, March 1st 2012",Amazon (AMZN -0.3%) adds a service for developers to help them design games in which users can...
0,,"AMZN, TWX, GOOG, AAPLWednesday, November 17th 2010","Amazon (NASDAQ:AMZN) makes it easier to get rid of dust-collecting CDs, offering to buy them..."
0,,"AMZNThursday, December 22nd 2011","Amazon (NASDAQ:AMZN) plans to announce a deal with Viacom (VIA, VIA.B) to launch an online..."
0,,"AMZNMonday, June 3rd 2013","While Pacific Crest argues Kindle sales are slowing, Citi's Mark Mahaney says (AMZN..."
0,,"AMZNMonday, December 5th 2011",Amazon.com (NASDAQ:AMZN) and an association of college bookstores resolve a dispute over the...
0,,"AMZNTuesday, January 31st 2012","Mentioned during Amazon's Q4 earnings call: The company ended Q4 with 56,200 employees, up 67%..."
0,,"MSFTTuesday, June 16th 2020",GM Cruise is trying to poach Zoox engineers - Reuters
0,,"AMZNWednesday, February 1st 2012",Barnes & Noble (BKS -0.7%) reiterates that it won't sell Amazon titles at its stores after a bit...
0,,"AMZNThursday, July 29th 2010","Amazon (AMZN -1.1%) launches daily deals on Kindle ebooks, adding to the firm's presence in the..."
0,,"AMZN, NFLXFriday, November 11th 2011","The first reviews for Amazon's (NASDAQ:AMZN) Kindle Fire are ambivalent. ""The Fire does not have..."
0,,"AMZNMonday, January 7th 2013","As Amazon (NASDAQ:AMZN) readies a low-cost tablet, Vodafone (NASDAQ:VOD) is showing off its own..."
0,,"AMZN, EBAYWednesday, November 30th 2011",Amazon (NASDAQ:AMZN) boasts it now offers 15M items for shipment via its $79/year Prime 2-day...
0,,"AMZNMonday, December 17th 2012","Wal-Mart (NYSE:WMT) launches a price war with Amazon.com (NASDAQ:AMZN), putting 10..."
0,,"AMZNSaturday, September 10th 2011",Amazon (AMZN +3.8%) surged to new highs ahead of Tuesday's Q4 report: shares are now up 27% from...
0,,"AMZNFriday, July 1st 2011","Apple launches racial equality initiative, confirms WWDC schedule"
0,,"FB, GOOG, GOOGL, AMZNWednesday, June 3rd 2020",Slow recovery seen for Kontoor Brands
0,,"AMZNSunday, December 6th 2009",Amazon (AMZN -2.5%) is closing with losses ahead of tomorrow's Q3 report after Barclays cut...
0,,"AMZNSunday, September 9th 2012","Amazon (NASDAQ:AMZN) cuts ties to its Illinois-based affiliates, as it had threatened to do, in..."
0,,"AMZNFriday, October 23rd 2009","Amazon (NASDAQ:AMZN) is named the ""most reputable company"" in the U.S., according to a list..."
0,,"GRPN, EBAYFriday, July 27th 2012",Were Amazon's (NASDAQ:AMZN) market share gains partly responsible for Google's (GOOG -8.4%) Q4...
0,,"UPS, BBY, TGT, AMZNThursday, May 28th 2020",The pro-WikiLeaks hackers who attacked Amazon (NASDAQ:AMZN) and other companies are virtually...
0,,"FBWednesday, May 27th 2020",Amazon (NASDAQ:AMZN) files a lawsuit against Discovery (NASDAQ:DISCA) for infringing on four of...
0,,"AMZNMonday, April 30th 2012",Amazon.com (NASDAQ:AMZN) on the rise after Citigroup upgrades shares to Buy with a price target...
0,,"AMZN, CMCSAThursday, May 16th 2013",Gdgt's Ryan Block follows up on yesterday's TechCrunch scoop on Amazon's (AMZN -1.7%) new tablet...
0,,"BKS, AMZNMonday, June 21st 2010",Alexa-powered shopping comes to India
0,,"NFLX, AMZN, VIA, VIABWednesday, February 8th 2012",Amazon (NASDAQ:AMZN) now has more than 4K members in its partner network designed to help lure...
0,,"Tuesday, June 9th 2020",Three breakfast reads: 1) Reality Bites: Economy Begins To Shrink As Fed Goes Broke 2) ...
0,,"WMT, AMZN, TGT, KR, COSTWednesday, March 18th 2020",ABI Research estimates Amazon (AMZN +2.8%) only needs to generate about $10 in content sales a...
0,,"AMZNWednesday, March 30th 2011",A silver lining to Amazon's (AMZN -11.1%) Q3 report might be found in the 70% Y/Y growth posted...
0,,"AMZN, AAPLWednesday, September 28th 2011",Global pessimism gives stocks excuse to take a breather
0,,"GOOG, GOOGL, FB, AMZNThursday, March 12th 2020",Some seasoned Amazon (AMZN +2.8%) watchers think third-party sellers on the site sell more by...
0,,"AMZN, WMTWednesday, July 27th 2011",Wal-Mart (NYSE:WMT) expands its price war with Amazon.com (NASDAQ:AMZN) and Target (NYSE:TGT)...
0,,"AMZNWednesday, December 11th 2019",Amazon (AMZN +4.2%) tops the S&amp;P leader board after Morgan Stanley places the stock on its...
0,,"BBYFriday, October 12th 2012",Amazon (NASDAQ:AMZN) now +9.3% AH in spite of its Q4 miss and light Q1 guidance. The earnings...
0,,"AMZNThursday, May 12th 2011",A crusade by Amazon.com (NASDAQ:AMZN) and Overstock.com (NASDAQ:OSTK) against states looking to...
0,,"AMZNFriday, April 24th 2009",Three airline stocks have room to rise on domestic travel pickup - Barron's
0,,"VMWFriday, May 29th 2020",Battling with Best Buy (NYSE:BBY) and Amazon (NASDAQ:AMZN) over customers from bankrupt Circuit...
0,,"AMZNMonday, July 2nd 2012","Amazon (AMZN +1%) moved nearly 8M Kindle 3s in the last year, according to one calculation...."
0,,"ZM, PTON, FB, AMZN, WMT, COST, NVDA, CTXS...Wednesday, May 27th 2020","Amazon (NASDAQ:AMZN) expands into the casual videogames market, launching a beta store with over..."
0,,"AMZNFriday, December 17th 2010",Bill Miller says stock market isn't 'dramatically overvalued'
0,,"WMTMonday, November 15th 2010",Google in talks to acquire cloud firm D2iQ - Axios
0,,"AMZNThursday, April 26th 2012",The Shanghai Daily tips off an ambitious 600M yuan ($95M) plan by Amazon (AMZN +1.9%) to build a...
0,,"AMZNThursday, February 2nd 2012",J.C. Penney bankruptcy expected very soon
0,,"NDAQTuesday, April 21st 2020",Amazon (NASDAQ:AMZN) itself won't provide Kindle sales numbers. The company dodged the question...
0,,"AMZNTuesday, December 13th 2011",More on Amazon's Q4: North American sales +37% Y/Y (44% in Q3). International sales +31% (44% in...
0,,"RAX, AMZNWednesday, July 10th 2013",Wedbush's names to benefit from tech's rebound rampage
0,,"AMZNTuesday, February 2nd 2010",An apparent tussle leading up to the $807M deal between Amazon.com (AMZN +5.35%) and Zappos...
0,,"Friday, May 1st 2020","Amazon.com's (NASDAQ:AMZN) ""very real"" 7-inch Kindle Tablet will arrive in November for $250, MG..."
0,,"AMZNTuesday, December 29th 2009",More on Amazon.com (NASDAQ:AMZN) earnings: Worldwide media sales up 27% to $3.66B; Worldwide...
0,,"AMZN, NWSWednesday, November 4th 2009",Prepare for the day ahead with WSB
0,,"AMZN, SNE, BKSTuesday, April 12th 2011","After Lazard Capital raised its rating on Amazon (AMZN -0.1%) to Buy, the stock hits a new..."
0,,"BBY, AMZNThursday, December 2nd 2010","Premarket, Local.com (NASDAQ:LOCM) is +7.7% after Amazon (NASDAQ:AMZN) says it will pump $175M..."
0,,"AMZN, AAPLFriday, November 26th 2010","Amazon (AMZN +0.2%) seems a great bet even ahead of Cyber Monday, Barron's says. It offers..."
0,,"BB, AMZNTuesday, August 17th 2010","Futures extend gains; tech boosted by MSFT, FB"
0,,"GOOG, GOOGL, AMZN, MSFTTuesday, December 17th 2019",Walmart raises minimum wage in e-commerce warehouses by $2
0,,"ICARTTuesday, March 24th 2020",TiVo launches Prime Video app
0,,"AAPL, AMZNThursday, April 2nd 2020","Citi lifts its price target on Amazon.com (NASDAQ:AMZN) to $170 from $140, noting the online..."
0,,"AMZNThursday, October 22nd 2009",Tokyo slaps Amazon.com (NASDAQ:AMZN) with a $119M tax bill for Japan sales booked in the U.S....
0,,"APOP, MYOK, AMC, ZKIN, CYTK, QDEL, BLPH, AVYA...Monday, May 11th 2020",Amazon.com (AMZN +0.9%) will outperform the market by 25% over the coming year as it begins to...
0,,"AMZNThursday, October 25th 2012",Wedbush sees Pentagon splitting JEDI contract
0,,"NFLX, AMZNWednesday, February 23rd 2011",Debut of Walmart Fulfillment Services
0,,"AMZNMonday, August 11th 2008",Amazon (NASDAQ:AMZN): Q2 EPS of $0.01 misses by $0.01. Revenue of $12.83B (+29% Y/Y) misses by...
0,,"SPOT, AAPL, AMZN, GOOG, GOOGL, SIRIWednesday, February 26th 2020",More on Amazon (NASDAQ:AMZN): Operating income -46.8% Y/Y. Service sales up 57% Y/Y and now...
0,,"AAPL, FB, GOOG, GOOGL, AMZNWednesday, February 19th 2020",Green light for all-electric Lincoln
0,,"FB, CSCO, STuesday, February 11th 2020",Prepare for the day ahead with WSB
0,,"SPY, VOO, IVV, SH, SDS, SSO, SPXL, UPRO...Tuesday, February 18th 2020",Amazon.com (NASDAQ:AMZN): Q2 EPS of $0.41 beats by $0.06. Revenue of $9.9B (up 51%&nbsp;Y/Y)...
0,,"SFTBF, SFTBYThursday, January 30th 2020",Retail execs don't sound alarmed
0,,"AAPL, MSFT, GOOG, GOOGL, AMZN, FBTuesday, January 14th 2020",Bezos meeting with Future Group CEO - report
0,,"GOOG, GOOGLFriday, January 17th 2020",Cinedigm adds networks to free DistroTV platform
0,,"MSFT, AMZNTuesday, January 7th 2020",Effort to crack down on e-commerce fakes
0,,"CRNCThursday, January 2nd 2020",Screen-based industry reaps audience surge - for now
0,,"GOOG, GOOGL, FB, AMZNWednesday, December 25th 2019","Amazon.com (AMZN -0.8%) fires back at Wal-Mart (WMT -0.4%), lowering its hot new releases to $9...."
0,,"NAV, NNVC, LLIT, SNDX, ADNT, ADRO, CBLI, AHPI...Friday, January 31st 2020",Citron makes its top pick and pan for 2020
0,,"TSLA, AMZN, FSunday, January 26th 2020",'Like trying to stop air' - latest coronavirus updates here
0,,"AMZN, BABAThursday, December 26th 2019",Trade Desk names AMZN vet as CFO
0,,"MSFT, AMZN, ORCLTuesday, August 13th 2019",Wells Fargo warns on eBay
0,,"Friday, February 21st 2020",AWS opening data centers in Spain
0,,"IBM, BACWednesday, November 6th 2019",Twitch hires Zynga vet as CMO
0,,"Friday, December 27th 2019",Apple overhauling smart home efforts - Bloomberg
0,,"AMZN, MSFTWednesday, October 23rd 2019",Super Saturday sales top Black Friday by 10%
0,,"BKR, MSFTTuesday, November 19th 2019",Vodafone moving key operations to Google Cloud
0,,"FB, GOOG, GOOGL, AMZN, AAPLTuesday, October 22nd 2019",Alibaba's Singles' Day sales hit record $38B
0,,"MSFT, AMZN, BBTuesday, October 1st 2019",Walmart tests healthcare programs in the U.S.
0,,"FBTuesday, September 24th 2019","NBCU's Peacock launches with free, $4.99, $9.99 tiers"
0,,"WMT, CVS, RAD, JNJFriday, October 25th 2019","BUD, AMZN among premarket losers"
0,,"GOOG, GOOGL, FB, TWTR, AMZN, AAPLTuesday, November 19th 2019",Retail responds to Bezos challenge
0,,"SBGI, DIS, AMZN, FWONAFriday, May 3rd 2019","Appaloosa adds Alibaba, increases Micron"
0,,"Friday, December 27th 2019",Good news/bad news: More coal than gifts in economic stats
0,,"ATVIThursday, September 5th 2019",Trefis outlines potential Google-Nutanix deal; NTNX +5%
0,,"AMZNTuesday, November 13th 2018",Walmart pushes harder into digital ads
0,,"FOX, FOXA, DIS, AMZN, APO, KKR, BX, SBGI...Thursday, November 29th 2018",Apple Card not a threat to competitors - analysts
0,,"PYPL, STRIP, SQWednesday, February 6th 2019",Microsoft clarifies voice data privacy policy
0,,"FB, AAPL, AMZN, NFLX, GOOGL, XLK, VGT, TECL...Monday, December 31st 2018",Tech lunch break: Apple's suppliers recover
0,,"AAPL, GOOG, GOOGL, AMZN, MSFTWednesday, July 31st 2019",Amazon.com (NASDAQ:AMZN): Q1 EPS of $0.66 beats by $0.05. Revenue of $7.13B (+45.9%) vs. $6.87B....
0,,"KSSTuesday, August 20th 2019",Justice Department assisting state AG tech probe
0,,"BRK.B, BRK.AThursday, April 4th 2019",Michaels -7.4% as BofAML throws up Sell sign
0,,"AMZN, NGVC, SVU, SFM, KR, IMKTA, WMKWednesday, September 26th 2018",Saudi Aramco valuation gap persists as IPO talks resume - Reuters
0,,"FB, AMZN, NFLX, GOOG, AAPLThursday, July 4th 2019","Facebook approached Netflix, Disney about TV chat device support - report"
0,,"YNDXTuesday, November 6th 2018",Super Micro (again) denies spy chips to U.S. senators
0,,"MELITuesday, June 4th 2019",Boot Barn rally expected to continue
0,,"PLDMonday, July 15th 2019",Big Tech under fire on Capitol Hill
0,,"AMZNThursday, January 29th 2009","Stocks leading S&P 500 to 3,000"
0,,"Monday, October 21st 2019",Big Tech on trial at House hearing
0,,"SFTBF, SFTBY, AMZN, WMTThursday, May 16th 2019",A Prime headache setting up in grocery/food sector
0,,"DISThursday, May 30th 2019",Citron keeps up pressure on Jumia - shares down another 27%
0,,"GOOG, GOOGLThursday, June 20th 2019",YouTube rolls out AR makeup try-on program
0,,"F, AMZNTuesday, April 23rd 2019",Vale weighs plan to increase capacity at its biggest iron ore mine - FT
0,,"GDDYThursday, April 11th 2019",Stocks slide as Trump impeachment calls gain momentum
0,,"ROKUThursday, April 4th 2019",Etsy adds another sell-side bull
0,,"WMTTuesday, April 2nd 2019",Microsoft Store drops ebook sales
0,,"AAPL, AMZNThursday, January 25th 2018","McKesson reaffirms FY2019 forecast, sees FQ1 adjusted EPS $2.85-$2.95"
0,,"SNE, AMZN, NFLXMonday, April 8th 2019",Bezos brings on the next space race
0,,"ESS, EQR, AVBTuesday, June 26th 2018",Microsoft launching on-premise Azure for governments
0,,"Thursday, April 25th 2019",FAANG short positions +42% in past year
0,,"AAWWSaturday, February 23rd 2019",Spotify is risky: Barron's
0,,"T, NFLX, DIS, CMCSA, CHTR, DISHMonday, June 3rd 2019",Applied Opto -3.4% as Rosenblatt warns of Facebook 100G share loss
0,,"SMCIFriday, October 19th 2018","Stocks reverse, turn lower"
0,,"Thursday, January 31st 2019",Walmart gives its website a makeover
0,,"VTGN, SMG, MXIM, PII, PE, ESRX, AMRN, CVS...Tuesday, January 30th 2018",Microsoft welcomes facial recognition regulations
0,,"GOOG, GOOGL, FBTuesday, May 7th 2019","Stocks start higher with earnings, Q2 GDP in focus"
0,,"GDOT, IPAY, FINXTuesday, March 12th 2019",Square loses head of payments to Visa
0,,"DIS, CHTR, FWONA, SBGIWednesday, May 1st 2019",Verizon's Oath doubles down on AWS
0,,"Thursday, October 25th 2018",Whole Foods holding supplier summit
0,,"TWTR, AMZN, VZ, GOOG, GOOGLFriday, February 16th 2018",Microsoft signs 10-year wind power agreement with Sweden-backed supplier
0,,"BBYMonday, July 10th 2017",Google to spend $1B on new New York campus
0,,"AMZNThursday, December 13th 2018","JBG Smith reports Washington, DC, office building 65% pre-leased"
0,,"AONNY, SFTBY, YAHOYFriday, February 9th 2018",Microsoft CEO reveals cloud advantage; Cortana gets easier for developers
0,,"Tuesday, October 9th 2018",Senators pushing to force disclosure of tech user data value - Axios
0,,"GOOG, GOOGL, FB, AMZNWednesday, January 23rd 2019","Oracle expects cloud acceleration, announces FireEye collaboration"
0,,"GOOG, GOOGL, SPOT, AAPL, AMZN, FLEXFriday, January 18th 2019",IRobot -3.7% on Spruce's Strong Sell
0,,"AMZN, GOOG, GOOGL, FBFriday, December 8th 2017","Jefferies: Microsoft tops cloud market revenue, Alibaba tops in Y/Y growth"
0,,"AMZN, GOOG, GOOGL, FBMonday, November 5th 2018","WSJ: Alphabet, Aramco planning data centers in Saudi Arabia"
0,,"CSGSWednesday, October 31st 2018",Sonos delays Google Assistant integration until 2019
0,,"AAPL, ROKUWednesday, November 21st 2018",Moody's sees Darwinian choice for smaller retailers
0,,"SNAPMonday, November 12th 2018",IBM announces Multicloud manager
0,,"COST, AMZNMonday, December 17th 2018",'Big Tech' delivers big results
0,,"Thursday, May 16th 2019","S&P gains, while Apple leads Nasdaq lower"
0,,"QQQ, AAPL, MSFT, AMZN, GOOG, FB, GOOGL, CSCO...Tuesday, December 11th 2018","CBS launches ET Live, third free streaming channel"
0,,"HEThursday, October 25th 2018",Iridium Communications +2.9% on AWS collab service
0,,"SPY, DIA, QQQ, XLK, VGT, TECL, FTEC, IYW...Friday, October 27th 2017","Oracle confident on cloud applications, infrastructure"
0,,"STMPWednesday, October 17th 2018",Cloud battle heads to the Middle East
0,,"UNHThursday, January 24th 2019",Walmart's Jet.com gets a makeover
0,,"SVUWednesday, June 28th 2017","Nasdaq loss grows to 3%, S&P down 2%"
0,,"GOOG, GOOGLWednesday, September 27th 2017",Key Buffett deputy to leave Berkshire's BNSF Railway in April
0,,"CMCSA, NFLX, AMZN, GOOG, GOOGL, ROKUWednesday, November 7th 2018",Stocks recoup ~80% of yesterday's big losses
0,,"Monday, January 7th 2019","Ring launches smart peephole, security lights"
0,,"ORLYMonday, September 17th 2018",Nasdaq up nearly 3% in early action; Consumer staples lag
0,,"Thursday, December 27th 2018",Reuters: Cloudflare preps IPO with potential $3.5B valuation
0,,"XLK, VGT, TECL, FTEC, IYW, ROM, QTEC, RYT...Monday, December 24th 2018",Winning retail sector picks from Credit Suisse
0,,"AMZN, GOOG, BA, BAC, JNJ, ORCLTuesday, December 18th 2018",Stocks hold onto gains at midday
0,,"Monday, July 23rd 2018",Apple hires more Sony execs in original programming bid
0,,"QQQ, SPY, DIA, XLV, IBB, TQQQ, SQQQ, PSQ...Thursday, October 4th 2018","Apple again denies Businessweek story, says there's no gag order"
0,,"FBWednesday, December 5th 2018",Morgan Stanley thinks Zalando is well-positioned to survive Prime Wardrobe
0,,"BABA, BT, VOD, BOLRFMonday, July 9th 2018",New executive appointment at Honeywell
0,,"SONO, GOOG, GOOGLFriday, August 3rd 2018",Tesco and Carrefour in purchasing pact
0,,"QQQ, IWMFriday, July 27th 2018",Kroger seen as takeover target
0,,"QQQ, AAPL, AMZN, MSFT, GOOG, FB, GOOGL, INTC...Friday, September 7th 2018",U.S. Bancorp introduces Automated Investor digital advice platform
0,,"NFLXThursday, June 14th 2018",Ciena -2.4% as Rosenblatt sees U.S. sales decline
0,,"MSFT, WMTMonday, November 5th 2018","S&P, Dow post gains while Nasdaq slips"
0,,"VMW, DXC, HPQMonday, August 28th 2017",Morgan Stanley pulls bearish outlook for Roku; shares up 1%
0,,"MSFTThursday, October 25th 2018",Premarket Losers as of 9:05 am (06/28/2018)
0,,"AMZN, EBAY, PYPL, ETSY, APRN, SHOP, W, IBUYThursday, June 21st 2018",Piper's fall survey: Instagram beats Snap in teen use
0,,"Friday, February 1st 2019",International Paper has 25% upside - Barron's
